,City,Country,Max Temp,Latitude,Longitude,Hotel Name
285,Georgetown,MY,87.73,5.4112,100.3354,Page 63 hostel
286,Luganville,VU,83.08,-15.5333,167.1667,Beachfront Resort
290,Angoche,MZ,81.63,-16.2325,39.9086,Hotel Quirimbas
293,Cockburn Town,TC,77.14,21.4612,-71.1419,The Salt Raker Inn
299,Luanda,AO,73.98,-8.8368,13.2343,Hotel Forum
301,Farafangana,MG,76.23,-22.8167,47.8333,Le Concombre Masqué
302,Samarai,PG,85.87,-10.6167,150.6667,No hotel found
304,Dingle,PH,84.87,10.9995,122.6711,No hotel found
312,Bowen,AU,85.66,-20.0167,148.2333,Whitsunday Sands Resort
313,Olinda,BR,80.33,-8.0089,-34.8553,Fidji Motel
316,Lima,PE,71.91,-12.0432,-77.0282,Hotel Peach Garden
318,Mana,GF,76.28,5.6592,-53.7767,Le Samana
321,Bom Jardim,BR,70.79,-7.7958,-35.5872,Hotel Breno
324,Kasungu,MW,70.23,-13.0333,33.4833,Kasungu Inn
328,Alappuzha,IN,80.15,9.49,76.3264,Unnis Hotel
330,Cravo Norte,CO,73.26,6.3017,-70.2041,No hotel found
332,Kieta,PG,81.66,-6.2167,155.6333,No hotel found
336,Yulara,AU,88.59,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
344,Piacabucu,BR,76.68,-10.4056,-36.4344,O Leão
345,Merauke,ID,80.49,-8.4667,140.3333,No hotel found
347,Bubaque,GW,81.32,11.2833,-15.8333,Chez Julio
353,Tual,ID,83.62,-5.6667,132.75,Suita
356,Binucayan,PH,88.3,8.25,125.7167,No hotel found
359,Buala,SB,82.9,-8.145,159.5921,No hotel found
360,Port Macquarie,AU,71.89,-31.4333,152.9167,The Observatory
365,Bambanglipuro,ID,83.21,-7.95,110.2833,No hotel found
367,Miramar,US,77.02,25.9873,-80.2323,El Palacio Sports Hotel
373,Makakilo City,US,77.32,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
374,Bac Lieu,VN,83.23,9.285,105.7244,Khách sạn Bạc Liêu
380,Urucara,BR,74.37,-2.5364,-57.76,No hotel found
382,Quatre Cocos,MU,80.71,-20.2078,57.7625,Horisun
